iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
45,-0.0608285,42.3299,-0.000343255,0,12.125,0.285478,1.40285,0.0267968,-0.00952464,24.0492,5.85277e-05,0.00991475,0.92001,12486.3,0.718309,0.265806,-0.1,0.02,59.8759,552960,0.0457952,0.0190943,0.0402193,0.0261403,-0.130515,nan,0.0149381,-0.000611836,-0.00168538,-0.000106868,-0.000883162,-0.000622146,-0.014804,-1.73774e-07
46,-0.0692935,41.8299,-0.00214041,0,12.25,0.290983,1.40294,0.0279252,-0.010881,24.0314,5.85277e-05,0.00971842,0.919127,12197,0.712687,0.294778,-0.1,0.02,60.8849,565248,0.0445657,0.018827,0.0396905,0.0261285,-0.12817,nan,0.0142959,-0.000591452,-0.00164441,-0.0001062,-0.0010102,-0.00062578,-0.0148238,-1.75969e-07
47,-0.0528115,42.6454,-0.000282478,0,11.75,0.291119,1.41372,0.0299755,-0.0101532,24.0148,5.85277e-05,0.0115995,0.918309,12392.8,0.706124,0.28542,-0.1,0.02,61.8778,577536,0.0462127,0.0195165,0.039636,0.0261127,-0.130504,nan,0.0153404,-0.000683582,-0.0016353,-0.000104502,-0.000769504,-0.000651373,-0.0151104,-1.82448e-07
48,-0.0251723,43.0731,-0.00139256,0,12.5417,0.287215,1.41592,0.0305872,-0.0104715,23.9986,5.85277e-05,0.0102459,0.917467,11107.6,0.807156,0.29911,-0.1,0.02,62.9856,589824,0.0475151,0.0197629,0.0408353,0.0267884,-0.131768,nan,0.0154186,-0.000663073,-0.00165711,-0.000108082,-0.00181063,-0.000638321,-0.0149338,-1.81039e-07
49,-0.0391587,42.7824,0.000545634,0,10.9167,0.277175,1.38137,0.0295177,-0.0103968,23.982,5.85277e-05,0.0109139,0.91662,12063.7,0.758968,0.259624,-0.1,0.02,64.0056,602112,0.046811,0.0193615,0.0403607,0.0265267,-0.130159,nan,0.0143817,-0.000614871,-0.00173364,-0.00010583,-0.00119466,-0.000687492,-0.0149041,-1.77828e-07
50,-0.0472424,42.9685,-0.00173745,0,11.9167,0.290916,1.41501,0.0319442,-0.0113395,23.9653,5.85277e-05,0.0186643,0.915771,12045.5,0.752326,0.267805,-0.1,0.02,65.027,614400,0.0468176,0.0195809,0.0407239,0.0268967,-0.130887,nan,0.0135105,-0.000589706,-0.00172567,-0.000107945,-0.00124476,-0.000675583,-0.0146608,-1.76017e-07
51,0.0120262,45.562,0.0010075,0,10.0833,0.271247,1.39219,0.0296855,-0.0102781,23.9487,5.85277e-05,0.0099111,0.914926,12525.4,0.7192,0.261848,-0.1,0.02,66.0095,626688,0.0504412,0.0210889,0.0435929,0.0282014,-0.138533,nan,0.0152231,-0.000690189,-0.00183634,-0.000110222,-0.000991736,-0.000653889,-0.015131,-1.80566e-07
52,-0.0203337,46.5366,0.00014334,0,11.9583,0.28081,1.38908,0.0277499,-0.0112451,23.9316,5.85277e-05,0.0117153,0.914029,11362.8,0.771087,0.310338,-0.1,0.02,67.0923,638976,0.0523234,0.021699,0.0436807,0.0288233,-0.142542,nan,0.0142265,-0.000623748,-0.00188285,-0.000115113,-0.00118815,-0.00073379,-0.0146839,-1.75663e-07
53,0.0480921,46.8039,7.06361e-05,0,10.625,0.277268,1.39049,0.0296607,-0.0114615,23.914,5.85277e-05,0.0113032,0.913146,9189.29,1.06377,0.273434,-0.1,0.02,68.4677,651264,0.0531731,0.0215887,0.044729,0.0288616,-0.142013,nan,0.0151882,-0.000708819,-0.00181921,-0.000112512,-0.00123922,-0.000744679,-0.0144987,-1.73039e-07
54,-0.0195862,45.9459,0.00152272,0,10.7917,0.272624,1.36923,0.0311178,-0.0113241,23.8965,5.85277e-05,0.013836,0.912247,10954.7,0.852874,0.268841,-0.1,0.02,69.5909,663552,0.0498142,0.0211924,0.0427036,0.0281086,-0.139236,nan,0.0151274,-0.00063799,-0.00180787,-0.000112942,-0.000996139,-0.000655662,-0.0144789,-1.74432e-07
55,0.0578724,46.5765,0.00191144,0,10.625,0.266936,1.38256,0.0294257,-0.0108969,23.8784,5.85277e-05,0.0123505,0.911312,10346.9,0.892065,0.295533,-0.1,0.02,70.7801,675840,0.052425,0.0217501,0.0433764,0.0290962,-0.140984,nan,0.0163882,-0.000793831,-0.00180549,-0.000111367,-0.0013098,-0.000710894,-0.0144264,-1.75908e-07
56,0.0894991,47.2769,0.00245407,0,10.8333,0.270877,1.38442,0.0296735,-0.0105884,23.8599,5.85277e-05,0.00910917,0.910374,9674.68,1.02168,0.248435,-0.1,0.02,72.0515,688128,0.0541447,0.0218542,0.0434408,0.0291698,-0.143674,nan,0.0185654,-0.000841755,-0.00177619,-0.000111349,-0.000926923,-0.000702327,-0.0146668,-1.76014e-07
57,0.109643,48.8766,0.00225973,0,9.79167,0.27697,1.39954,0.0297936,-0.010934,23.8415,5.85277e-05,0.0152327,0.909457,11439.2,0.816117,0.258086,-0.1,0.02,73.1274,700416,0.0546485,0.0225133,0.0464772,0.0305188,-0.147118,nan,0.0181021,-0.000873814,-0.00181098,-0.000118548,-0.00087234,-0.000649479,-0.0153347,-1.86404e-07
58,0.118497,49.1306,0.00255807,0,11.1667,0.273932,1.40618,0.0300869,-0.0105774,23.8236,5.85277e-05,0.00948479,0.908566,7903.47,1.05437,0.500389,-0.1,0.02,74.6836,712704,0.0548922,0.0233024,0.045694,0.0306909,-0.147911,nan,0.0181231,-0.000867701,-0.0018309,-0.000118503,-0.000712687,-0.000591991,-0.0147449,-1.80106e-07
59,0.132458,48.1901,0.00434595,0,10.0833,0.266127,1.39174,0.0322595,-0.0102937,23.8068,5.85277e-05,0.0104791,0.907787,6911.85,1.40512,0.372702,-0.1,0.02,76.4632,724992,0.0544654,0.0227206,0.0453782,0.0300013,-0.146351,nan,0.0196983,-0.00095849,-0.00182772,-0.000114396,-0.00114463,-0.000617103,-0.0146278,-1.8072e-07
60,0.15761,50.3602,0.00282746,0,9.83333,0.269963,1.40301,0.0308413,-0.0103584,23.7917,5.85277e-05,0.0119003,0.907012,7818.06,1.03962,0.532128,-0.1,0.02,78.0367,737280,0.0569867,0.0232522,0.0489005,0.031456,-0.151429,nan,0.0181271,-0.000899305,-0.00192476,-0.000117891,-0.000788136,-0.000684596,-0.0149984,-1.83094e-07
61,0.149026,50.239,0.00238172,0,10.4583,0.280276,1.40142,0.0311084,-0.0109342,23.7757,5.85277e-05,0.0140559,0.90617,7353.7,1.26568,0.405311,-0.1,0.02,79.7098,749568,0.0567957,0.0238277,0.0479268,0.0322574,-0.150252,nan,0.0161833,-0.000774302,-0.00200987,-0.000124167,-0.00105179,-0.00069382,-0.014633,-1.78337e-07
