iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
43,0.0142323,135.311,0.000313792,0,3.08333,0.146717,1.22593,0.0185628,-0.00925256,2.09741,3.90184e-05,0.0148923,0.288205,16661.9,0.495865,0.241626,-0.1,0.02,47.1277,528384,0.102541,0.0144388,0.0794738,0.0173452,-0.0308058,nan,0.014627,nan,nan,nan,nan,-0.00531952,-0.0206422,-0.00657079,0.0127297,-0.0535845,-0.000256757,-0.00123367,-0.122031,nan
44,0.0617983,178.446,0.000955036,0,2.33333,0.143008,1.21925,0.02146,-0.00872723,2.09318,3.90184e-05,0.0127119,0.288114,16658.6,0.478272,0.259364,-0.1,0.02,47.8666,540672,0.124926,0.0187593,0.11237,0.0211749,-0.0405167,nan,0.0186054,nan,nan,nan,nan,-0.00642738,-0.0271835,-0.00860844,0.016875,-0.0702663,-0.000303571,-0.00136375,-0.154951,nan
45,-0.0402744,176.387,0.00070541,0,2.58333,0.146616,1.223,0.018749,-0.00878809,2.08973,3.90184e-05,0.00794013,0.288046,13989.2,0.509625,0.368768,-0.1,0.02,48.7463,552960,0.124537,0.0175294,0.110865,0.0202644,-0.0402598,nan,0.0177226,nan,nan,nan,nan,-0.00657629,-0.0271309,-0.00833648,0.0171129,-0.0693757,-0.000112903,-0.00118263,-0.15707,nan
46,-0.14017,151.845,0.00159629,0,2.41667,0.148149,1.2081,0.0191908,-0.0095195,2.08729,3.90184e-05,0.0085485,0.287993,12647.9,0.550975,0.420567,-0.1,0.02,49.7192,565248,0.10263,0.0146167,0.0933038,0.0181181,-0.034757,nan,0.0160483,nan,nan,nan,nan,-0.00570635,-0.0227198,-0.00748286,0.0148621,-0.0597046,-8.62069e-05,-0.00132807,-0.134802,nan
47,-0.108795,160.689,0.00296138,0,1.875,0.144538,1.19671,0.0211826,-0.010022,2.08491,3.90184e-05,0.0141673,0.287933,12288.5,0.597515,0.402448,-0.1,0.02,50.7205,577536,0.109456,0.0159771,0.0997656,0.0190808,-0.0365933,nan,0.0160978,nan,nan,nan,nan,-0.00581893,-0.0237864,-0.0076133,0.0158444,-0.0632164,-0.000133333,-0.0012456,-0.143254,nan
48,-0.399351,150.077,0.00300791,0,1.625,0.141506,1.21275,0.020501,-0.00983806,2.08231,3.90184e-05,0.0165753,0.287874,12409.3,0.606849,0.383374,-0.1,0.02,51.7124,589824,0.0831469,0.0147375,0.0954031,0.01789,-0.0342193,nan,0.0153974,nan,nan,nan,nan,-0.00561612,-0.0212425,-0.00740059,0.014641,-0.0589337,-0.000153846,-0.00138971,-0.132228,nan
49,-0.122905,191.178,0.00268627,0,1.875,0.140538,1.18815,0.018516,-0.00905525,2.0793,3.90184e-05,0.0135516,0.287782,14556.2,0.553232,0.290945,-0.1,0.02,52.5581,602112,0.127753,0.0188033,0.120515,0.0225266,-0.0432368,nan,0.01962,nan,nan,nan,nan,-0.00692715,-0.0297819,-0.00940432,0.0191778,-0.0751287,-0.000244444,-0.00128704,-0.168531,nan
50,0.334529,222,0.00270057,0,1.66667,0.145635,1.18397,0.0214436,-0.00875673,2.07463,3.90184e-05,0.00904396,0.287653,13407.4,0.554538,0.361971,-0.1,0.02,53.476,614400,0.155878,0.0233009,0.145412,0.0257753,-0.0505544,nan,0.0229125,nan,nan,nan,nan,-0.00772565,-0.0332235,-0.0107054,0.02245,-0.0872062,-2.5e-05,-0.00139458,-0.188167,nan
51,-0.129995,196.69,0.00284439,0,1.20833,0.147783,1.20164,0.0215759,-0.00916016,2.06943,3.90184e-05,0.010225,0.287546,12407.5,0.581233,0.409137,-0.1,0.02,54.4678,626688,0.124349,0.0191667,0.128961,0.0235021,-0.0446214,nan,0.020169,nan,nan,nan,nan,-0.00711905,-0.030307,-0.0100036,0.0204828,-0.0768913,-3.44828e-05,-0.00154135,-0.172612,nan
52,0.106599,237.375,0.00195704,0,1.66667,0.148077,1.20892,0.0211586,-0.00891753,2.06543,3.90184e-05,0.0110778,0.287465,12066.2,0.61075,0.407628,-0.1,0.02,55.4878,638976,0.162902,0.0234584,0.152469,0.0285747,-0.0538361,nan,0.0265225,nan,nan,nan,nan,-0.00846254,-0.0375301,-0.0113621,0.0244,-0.0930308,-0.00015,-0.00185821,-0.206766,nan
