iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_slip
56,11.6685,289,0.0603994,0,0.0416667,0.172893,0.685988,0.0466616,-0.0120526,12.9961,5.85277e-05,0.0141513,0.497952,13820,0.632288,0.256861,-0.199,0.0398,77.7564,688128,0.120579,0.131575,0.275599,0.0566539,-0.500781,0.578,-0.077,-6.31982e-05,-0.00113837
57,23.449,326,0.0602912,0,0.0416667,0.173729,0.682172,0.0393263,-0.0108664,12.9821,5.85277e-05,0.0112101,0.497591,13745.1,0.628578,0.265413,-0.2008,0.04016,78.6515,700416,0.525264,0.294445,0.314172,0.107339,-0.571374,0.652,-0.148,-0.000131163,-0.00126235
58,nan,nan,0.0601676,0,0,0.173548,0.684368,0.0366709,-0.0115991,12.9683,5.85277e-05,0.00762434,0.497187,13191.7,0.649732,0.281763,-0.2026,0.04052,79.5843,712704,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,nan,nan,0.0602261,0,0,0.172493,0.673474,0.0321935,-0.011014,12.9519,5.85277e-05,0.0147208,0.496669,12403.3,0.687759,0.302945,-0.2044,0.04088,80.5761,724992,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,nan,nan,0.0598112,0,0,0.171947,0.674429,0.0320461,-0.011109,12.9329,5.85277e-05,0.0132611,0.496171,12288.5,0.708831,0.29113,-0.2062,0.04124,81.5773,737280,nan,nan,nan,nan,nan,nan,nan,nan,nan
61,nan,nan,0.059564,0,0,0.172,0.684152,0.0310991,-0.0113064,12.9152,5.85277e-05,0.0114538,0.495678,11782,0.764614,0.278329,-0.208,0.0416,82.6214,749568,nan,nan,nan,nan,nan,nan,nan,nan,nan
62,nan,nan,0.058795,0,0,0.173506,0.671214,0.029251,-0.0113658,12.896,5.85277e-05,0.0122689,0.495107,12020.7,0.716788,0.305452,-0.2098,0.04196,83.645,761856,nan,nan,nan,nan,nan,nan,nan,nan,nan
63,nan,nan,0.0594526,0,0,0.171162,0.663991,0.029003,-0.0121408,12.8755,5.85277e-05,0.012032,0.494582,12238.7,0.705543,0.298487,-0.2116,0.04232,84.6502,774144,nan,nan,nan,nan,nan,nan,nan,nan,nan
64,nan,nan,0.0589159,0,0,0.17245,0.682511,0.027751,-0.0115901,12.8562,5.85277e-05,0.0111974,0.494024,12554,0.684575,0.294234,-0.2134,0.04268,85.6302,786432,nan,nan,nan,nan,nan,nan,nan,nan,nan
65,nan,nan,0.0589595,0,0,0.17275,0.676157,0.0271558,-0.0116007,12.8354,5.85277e-05,0.0121135,0.493451,12371.1,0.694183,0.2991,-0.2152,0.04304,86.6247,798720,nan,nan,nan,nan,nan,nan,nan,nan,nan
66,nan,nan,0.0587134,0,0,0.172093,0.671355,0.0264246,-0.0110661,12.8144,5.85277e-05,0.0131867,0.492875,12488.6,0.695785,0.288151,-0.217,0.0434,87.6098,811008,nan,nan,nan,nan,nan,nan,nan,nan,nan
67,nan,nan,0.0590515,0,0,0.171289,0.675451,0.0270371,-0.0123906,12.7938,5.85277e-05,0.0150767,0.492331,12146.4,0.719923,0.291732,-0.2188,0.04376,88.6225,823296,nan,nan,nan,nan,nan,nan,nan,nan,nan
68,29.1757,520,0.0584454,0,0.0416667,0.172326,0.678737,0.0324836,-0.0113554,12.7752,5.85277e-05,0.0067788,0.491883,9014.56,0.917518,0.44561,-0.2206,0.04412,89.9868,835584,0.605249,0.230081,0.505391,0.145058,-0.957408,1.04,-0.108,-0.000131479,-0.00145363
69,nan,nan,0.0585709,0,0,0.17155,0.670807,0.0265798,-0.0118966,12.7583,5.85277e-05,0.0130805,0.491366,8611.8,1.00025,0.426625,-0.2224,0.04448,91.4151,847872,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,nan,nan,0.0579886,0,0,0.172532,0.672912,0.0259131,-0.0112998,12.7379,5.85277e-05,0.0120696,0.490789,9106.7,0.957027,0.39231,-0.2242,0.04484,92.7659,860160,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,nan,nan,0.0584008,0,0,0.171272,0.675698,0.0250894,-0.0111255,12.7172,5.85277e-05,0.00948482,0.490245,9696.33,0.901227,0.366057,-0.226,0.0452,94.0347,872448,nan,nan,nan,nan,nan,nan,nan,nan,nan
