iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2
58,51.8203,523.167,0.0961459,0.5,0.75,0.0975924,0.332866,0.985778,-0.0100989,-15.8405,1e-05,0.0181282,0.100366,8594.06,1.10692,0.3229,-1,0.2,71.7969,712704,0.985207,0.827748,1.01871,0.387791,-0.628442
59,37.1457,402.722,0.0946465,0.166667,0.583333,0.0957567,0.342325,0.957486,-0.00998593,-15.8393,1e-05,0.0132935,0.100372,9097.53,0.903452,0.447244,-1,0.2,73.149,724992,0.746325,0.613834,0.782409,0.295916,-0.581198
60,42.529,446.25,0.0943926,0.291667,0.708333,0.0943414,0.358689,1.21313,-0.0111769,-15.8383,1e-05,0.0203243,0.100379,8181.6,1.11961,0.382296,-1,0.2,74.6522,737280,0.831295,0.68541,0.864856,0.329935,-0.585045
61,27.2726,355.68,0.0944513,0.125,0.916667,0.0940413,0.329673,1.12144,-0.0110923,-15.837,1e-05,0.0177784,0.100385,8323.13,1.11677,0.359602,-1,0.2,76.1299,749568,0.642036,0.485457,0.688193,0.239713,-0.691768
62,54.2342,588,0.099625,0.416667,0.625,0.0877689,0.286061,0.874949,-0.011671,-15.836,1e-05,0.0126614,0.100391,7912.02,0.947654,0.605426,-1,0.2,77.6844,761856,1.08974,0.869016,1.14601,0.398204,-0.791261
63,52.4715,530.3,0.100324,0.125,0.291667,0.0883059,0.26777,0.902674,-0.0118099,-15.8348,1e-05,0.0132146,0.100396,7801.43,1.08659,0.488502,-1,0.2,79.2615,774144,0.994868,0.847692,1.03094,0.413519,-0.663448
64,29.936,364.462,0.0981553,0.125,0.416667,0.0892675,0.300651,1.15952,-0.0107637,-15.8341,1e-05,0.0100215,0.100401,7182.51,1.17728,0.533541,-1,0.2,80.9741,786432,0.657229,0.508066,0.706528,0.236193,-0.611214
65,61.1579,615.368,0.0989613,0.333333,0.458333,0.0891491,0.288448,0.936393,-0.0106709,-15.8331,1e-05,0.0148665,0.100408,10058.3,0.91576,0.30592,-1,0.2,82.1975,798720,1.16375,1.00258,1.197,0.453566,-0.758991
66,12.8718,234.533,0.0973524,0,0.625,0.0893117,0.322454,1.06761,-0.0105263,-15.8315,1e-05,0.0110091,0.100417,9392.01,0.912661,0.395686,-1,0.2,83.5071,811008,0.400899,0.265281,0.449541,0.132724,-0.604856
67,55.8439,573.308,0.099582,0.208333,0.333333,0.0849049,0.267498,0.859033,-0.0106322,-15.8301,1e-05,0.0125365,0.100425,9122.47,0.926633,0.42037,-1,0.2,84.8558,823296,1.07319,0.896418,1.11383,0.43725,-0.728492
